Course,Hole,Par,Distance,Course_Rating,Slope_Rating,LAT,LON
Mahunga,1,4,280,69.3,115,-40.93277001009314,175.659211572043
Mahunga,2,4,357,69.3,115,-40.93277001009314,175.659211572043
Mahunga,3,3,175,69.3,115,-40.93277001009314,175.659211572043
Mahunga,4,4,316,69.3,115,-40.93277001009314,175.659211572043
Mahunga,5,4,335,69.3,115,-40.93277001009314,175.659211572043
Mahunga,6,3,117,69.3,115,-40.93277001009314,175.659211572043
Mahunga,7,4,270,69.3,115,-40.93277001009314,175.659211572043
Mahunga,8,5,453,69.3,115,-40.93277001009314,175.659211572043
Mahunga,9,4,360,69.3,115,-40.93277001009314,175.659211572043
Mahunga,10,3,181,69.3,115,-40.93277001009314,175.659211572043
Mahunga,11,5,443,69.3,115,-40.93277001009314,175.659211572043
Mahunga,12,4,340,69.3,115,-40.93277001009314,175.659211572043
Mahunga,13,4,355,69.3,115,-40.93277001009314,175.659211572043
Mahunga,14,5,390,69.3,115,-40.93277001009314,175.659211572043
Mahunga,15,4,372,69.3,115,-40.93277001009314,175.659211572043
Mahunga,16,4,324,69.3,115,-40.93277001009314,175.659211572043
Mahunga,17,3,140,69.3,115,-40.93277001009314,175.659211572043
Mahunga,18,5,491,69.3,115,-40.93277001009314,175.659211572043
Golf Warehouse,1,3,90,30.5,95,-41.231598850237845,174.905305588994
Golf Warehouse,2,3,125,30.5,95,-41.231598850237845,174.905305588994
Golf Warehouse,3,3,150,30.5,95,-41.231598850237845,174.905305588994
Golf Warehouse,4,4,355,30.5,95,-41.231598850237845,174.905305588994
Golf Warehouse,5,3,102,30.5,95,-41.231598850237845,174.905305588994
Golf Warehouse,6,4,240,30.5,95,-41.231598850237845,174.905305588994
Golf Warehouse,7,3,137,30.5,95,-41.231598850237845,174.905305588994
Golf Warehouse,8,3,178,30.5,95,-41.231598850237845,174.905305588994
Golf Warehouse,9,3,113,30.5,95,-41.231598850237845,174.905305588994
Masterton Golf Course,1,5,410,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,2,5,420,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,3,3,187,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,4,4,225,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,5,4,326,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,6,4,360,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,7,4,406,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,8,3,114,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,9,4,356,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,10,4,357,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,11,3,159,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,12,4,298,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,13,3,129,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,14,4,305,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,15,4,318,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,16,4,326,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,17,4,327,69.1,115,-40.93176516582475,175.681782586867
Masterton Golf Course,18,5,453,69.1,115,-40.93176516582475,175.681782586867
Trentham Golf Course,1,5,468,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,2,4,266,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,3,3,132,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,4,4,326,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,5,3,174,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,6,4,263,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,7,5,515,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,8,3,128,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,9,5,450,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,10,4,269,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,11,3,177,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,12,4,289,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,13,3,187,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,14,5,472,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,15,4,288,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,16,4,370,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,17,4,310,68.1,117,-41.14469495289522,175.044732655799
Trentham Golf Course,18,4,287,68.1,117,-41.14469495289522,175.044732655799
Berhampore Golf Course,1,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,2,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,3,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,4,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,5,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,6,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,7,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,8,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,9,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,10,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,11,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,12,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,13,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,14,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,15,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,16,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,17,,,105,63.2,-41.3241151446753,174.77293858836
Berhampore Golf Course,18,,,105,63.2,-41.3241151446753,174.77293858836
Chamberlain Park Golf Course ,1,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,2,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,3,,,66.7,107,-36.8702429389515,174.720759412056
Chamberlain Park Golf Course ,4,,,66.7,107,-36.8702429389515,174.720759412056
